left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
0.96,0.3,0.8,0.11,0.75,0.24,0.83,0.95
0.67,0.6,0.57,0.11,0.86,0.45,0.75,0.25
0.76,0.6,0.57,0.17,0.83,0.55,0.75,0.4
0.88,0.4,0.71,0.0,0.67,0.38,0.67,0.4
0.94,0.5,0.8,0.11,0.81,0.55,1.0,0.6
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.69,0.5,0.49,0.22,0.47,0.0,0.33,0.85
0.61,0.2,0.35,0.11,0.36,0.0,0.33,0.8
0.59,0.3,0.39,0.11,0.39,0.07,0.17,0.8
0.69,0.5,0.57,0.11,0.5,0.0,0.25,0.7
0.61,0.6,0.47,0.11,0.56,0.0,0.17,0.7
0.69,0.5,0.37,0.22,0.58,0.43,0.58,0.55
0.69,0.4,0.53,0.17,0.58,0.4,0.42,0.7
0.67,0.5,0.39,0.17,0.58,0.45,0.75,0.7
0.61,0.5,0.29,0.22,0.58,0.36,0.67,0.55
0.76,0.2,0.43,0.22,0.56,0.38,0.5,0.65
0.55,0.3,0.51,0.11,0.06,0.0,0.0,0.35
0.51,0.3,0.37,0.11,0.11,0.0,0.0,0.6
0.51,0.3,0.43,0.06,0.11,0.05,0.17,0.5
0.53,0.3,0.39,0.11,0.08,0.0,0.0,0.25
0.61,0.3,0.41,0.28,0.42,0.19,0.92,0.8
0.45,0.4,0.33,0.39,0.53,0.24,0.58,0.5
0.57,0.2,0.2,0.11,0.5,0.33,0.83,0.65
0.63,0.6,0.31,0.17,0.5,0.02,0.75,0.65
0.55,0.3,0.27,0.22,0.53,0.02,0.75,0.7
0.98,0.2,0.8,0.11,0.11,0.0,0.17,0.6
0.84,0.3,0.65,0.11,0.25,0.0,0.5,0.55
0.94,0.3,0.86,0.06,0.17,0.0,0.33,0.8
0.96,0.1,0.69,0.11,0.19,0.0,0.08,0.45
0.8,0.3,0.71,0.11,0.64,0.24,0.67,0.35
0.88,0.1,0.8,0.11,0.61,0.14,0.5,0.25
0.84,0.1,0.73,0.11,0.61,0.14,0.67,0.3
0.84,0.1,0.63,0.11,0.53,0.14,0.67,0.3
0.73,0.3,0.33,0.06,0.72,0.02,0.17,0.35
0.82,0.3,0.35,0.06,0.78,0.02,0.17,0.35
0.71,0.3,0.33,0.0,0.75,0.0,0.17,0.4
0.76,0.4,0.39,0.11,0.75,0.0,0.25,0.7
0.92,0.2,0.73,0.22,0.58,0.0,0.58,0.75
0.92,0.2,0.76,0.06,0.47,0.0,0.67,0.8
0.86,0.2,0.63,0.11,0.33,0.0,0.25,0.8
0.88,0.0,0.71,0.0,0.36,0.0,0.67,0.65
0.82,0.4,0.65,0.11,0.28,0.0,0.25,0.8
0.88,0.2,0.61,0.22,0.64,0.07,0.25,1.0
0.92,0.1,0.65,0.17,0.61,0.07,0.58,0.9
0.71,1.0,0.63,0.17,0.0,0.0,0.33,0.8
0.63,0.7,0.53,0.11,0.0,0.02,0.0,0.3
0.57,0.5,0.51,0.11,0.0,0.02,0.25,0.4
0.92,0.5,0.49,0.33,0.67,0.0,0.25,0.9
1.0,0.9,0.39,0.22,0.83,0.07,0.25,0.8
0.82,0.4,0.24,0.22,0.78,0.14,0.58,0.65
0.92,0.4,0.33,0.22,0.64,0.12,0.33,0.85
0.76,0.4,0.22,0.22,0.69,0.07,0.5,0.6
