left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
0.67,0.3,0.8,0.17,0.06,0.1,0.83,1.0
0.65,0.1,0.9,0.22,0.0,0.12,1.0,0.85
0.63,0.0,0.8,0.0,0.03,0.07,0.83,0.85
0.63,0.6,0.69,0.17,0.08,0.05,0.83,0.95
0.71,0.3,0.82,0.0,0.06,0.02,0.92,0.85
0.82,0.2,0.84,0.28,0.06,0.12,0.83,0.75
0.65,0.6,0.73,0.17,0.03,0.12,0.83,0.85
0.96,0.2,0.69,0.28,0.67,0.0,0.5,0.95
0.92,0.2,0.67,0.28,0.72,0.0,0.5,0.9
0.94,0.2,0.63,0.33,0.67,0.0,0.5,0.95
0.9,0.2,0.59,0.28,0.64,0.0,0.17,0.75
0.71,0.3,0.69,0.5,0.19,0.02,0.58,0.95
0.76,0.2,0.78,0.5,0.19,0.02,0.42,0.9
0.9,0.4,0.69,0.33,0.78,0.07,0.42,0.65
0.96,0.2,0.8,0.67,0.94,0.21,0.83,0.95
0.71,0.2,0.57,0.33,0.22,0.17,0.5,1.0
0.65,0.0,0.76,0.44,0.25,0.12,0.5,0.6
0.96,0.4,1.0,0.28,0.97,0.52,1.0,1.0
1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.61,0.0,0.61,0.61,0.22,0.07,0.67,0.5
0.71,0.1,0.63,0.67,0.22,0.12,0.75,0.7
0.71,0.0,0.78,0.78,0.19,0.0,0.67,0.9
0.71,0.0,0.82,0.61,0.17,0.0,0.75,0.95
0.57,0.1,0.71,0.67,0.14,0.17,0.58,0.8
0.51,0.1,0.65,0.56,0.17,0.14,0.75,0.6
0.49,0.0,0.61,0.39,0.39,0.14,0.58,0.8
0.41,0.1,0.47,0.39,0.39,0.24,0.67,0.6
0.86,0.2,0.45,0.17,0.58,0.12,0.33,1.0
0.78,0.2,0.55,0.17,0.5,0.1,0.33,0.95
0.67,0.5,0.84,0.61,0.22,0.33,0.42,0.65
0.78,0.7,0.76,0.61,0.28,0.36,0.5,0.35
0.73,0.4,0.45,0.11,0.61,0.24,0.58,0.7
0.71,0.1,0.45,0.11,0.64,0.14,0.42,0.55
0.71,0.0,0.43,0.11,0.69,0.14,0.42,0.55
0.76,0.1,0.41,0.22,0.67,0.29,0.67,0.65
0.8,0.0,0.43,0.11,0.56,0.26,0.75,0.85
0.67,0.4,0.84,0.72,0.28,0.24,0.42,0.75
0.57,0.5,0.76,0.72,0.31,0.52,0.08,0.55
0.69,0.8,0.8,0.78,0.17,0.21,0.0,0.65
0.88,0.3,0.96,0.17,0.17,0.48,0.58,0.75
0.86,0.5,0.92,0.11,0.14,0.21,0.67,0.85
