left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
0.88,0.5,0.8,0.06,0.67,0.36,1.0,1.0
0.84,0.2,0.71,0.11,0.67,0.43,1.0,1.0
0.69,0.5,0.76,0.0,0.56,0.24,1.0,1.0
0.88,0.4,0.71,0.11,0.72,0.6,1.0,1.0
0.53,0.1,0.63,0.11,0.03,0.02,0.08,0.55
0.47,0.1,0.55,0.11,0.06,0.14,0.17,0.75
0.49,0.1,0.73,0.11,0.03,0.0,0.08,0.15
0.47,0.2,0.63,0.11,0.03,0.17,0.08,0.45
0.53,0.1,0.8,0.11,0.06,0.02,0.08,0.05
0.55,0.1,0.73,0.0,0.0,0.05,0.08,0.2
0.43,0.1,0.55,0.06,0.0,0.0,0.0,0.55
0.51,0.1,0.49,0.11,0.03,0.0,0.0,0.85
0.2,0.2,0.39,0.06,0.0,0.0,0.0,0.45
0.45,0.0,0.39,0.06,0.0,0.0,0.0,0.55
0.37,0.0,0.49,0.06,0.0,0.0,0.0,0.7
0.27,0.0,0.29,0.0,0.0,0.0,0.0,0.1
0.43,0.1,0.39,0.17,0.03,0.02,0.17,0.6
0.47,0.0,0.51,0.28,0.0,0.0,0.08,0.4
0.41,0.1,0.35,0.06,0.06,0.0,0.5,0.7
0.45,0.1,0.51,0.22,0.0,0.0,0.25,0.7
0.43,0.0,0.49,0.28,0.0,0.0,0.17,0.45
0.37,0.0,0.37,0.22,0.14,0.1,1.0,0.65
0.37,0.0,0.57,0.28,0.11,0.12,1.0,0.5
0.41,0.0,0.49,0.22,0.17,0.05,1.0,0.55
0.35,0.0,0.41,0.22,0.17,0.1,1.0,0.6
0.27,0.0,0.29,0.11,0.25,0.29,1.0,0.5
0.41,0.0,0.49,0.28,0.17,0.1,1.0,0.5
0.96,0.2,0.53,0.0,0.56,0.14,0.42,0.35
0.98,0.4,0.61,0.0,0.56,0.21,0.5,0.35
0.96,0.2,0.65,0.06,0.53,0.14,0.33,0.35
0.98,0.5,0.57,0.11,0.58,0.0,0.33,0.6
0.98,0.4,0.63,0.06,0.64,0.0,0.5,0.8
0.96,0.4,0.59,0.11,0.56,0.0,0.42,0.8
0.98,0.4,0.61,0.11,0.56,0.0,0.42,0.65
0.76,0.2,0.27,0.11,0.58,0.02,0.25,0.85
0.73,0.2,0.33,0.11,0.58,0.02,0.33,0.9
0.78,0.2,0.29,0.11,0.61,0.0,0.25,0.65
0.88,0.2,0.27,0.11,0.53,0.0,0.5,0.75
0.71,0.1,0.39,0.06,0.53,0.31,0.5,0.75
0.71,0.1,0.24,0.11,0.64,0.26,0.42,0.8
0.8,0.0,0.27,0.11,0.53,0.12,0.42,0.6
0.78,0.1,0.29,0.0,0.5,0.14,0.5,0.7
0.8,0.2,0.37,0.33,0.61,0.05,0.0,0.75
0.88,0.3,0.45,0.33,0.58,0.05,0.08,0.7
0.69,0.2,0.31,0.22,0.75,0.17,0.17,0.45
0.73,0.2,0.39,0.17,0.69,0.1,0.5,0.55
0.76,0.3,0.39,0.11,0.67,0.0,0.33,0.85
0.65,0.3,0.35,0.11,0.5,0.0,0.42,0.9
0.94,0.2,0.33,0.11,0.69,0.14,0.5,0.85
0.71,0.3,0.47,0.11,0.67,0.19,0.42,0.8
0.94,0.3,0.73,0.11,0.75,0.38,0.67,0.9
0.71,0.3,0.43,0.11,0.36,0.0,0.17,0.85
0.69,0.4,0.55,0.11,0.28,0.0,0.17,0.9
