left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
1.0,1.0,1.0,0.72,0.58,0.29,0.75,0.35
1.0,0.4,1.0,0.11,0.31,0.69,0.83,0.35
0.29,0.0,0.76,0.22,0.31,0.33,0.5,0.95
0.78,0.7,0.78,0.61,0.44,0.29,0.92,0.05
0.96,0.5,0.86,0.89,0.53,0.67,0.5,1.0
0.96,0.2,0.49,0.83,1.0,0.17,0.58,0.6
0.82,0.3,0.9,0.28,0.14,0.07,0.0,0.65
0.78,0.2,0.73,0.89,0.33,1.0,1.0,1.0
0.57,0.0,0.8,0.67,0.44,0.48,1.0,1.0
0.73,1.0,1.0,0.56,0.14,0.0,0.5,0.0
0.63,0.7,1.0,0.67,0.36,0.6,1.0,0.85
0.47,0.3,0.16,0.17,0.44,0.55,0.25,0.65
0.96,0.5,0.94,0.78,0.83,0.93,0.58,0.9
0.9,1.0,0.8,0.61,0.72,0.55,0.92,0.55
0.63,0.0,1.0,0.11,0.92,0.81,0.92,1.0
0.9,0.6,1.0,0.61,0.36,0.67,1.0,0.9
0.61,0.4,0.71,0.5,0.78,0.5,1.0,0.9
0.82,0.5,0.82,0.56,0.64,0.69,0.83,0.75
0.88,0.3,0.78,0.5,0.72,0.19,1.0,0.8
0.04,0.0,0.69,0.06,0.14,0.48,0.67,0.35
0.82,0.0,0.18,0.06,0.97,0.0,0.5,0.65
0.24,0.9,0.98,0.33,0.22,0.79,0.83,0.85
0.57,0.0,0.43,0.56,0.42,0.43,1.0,0.85
0.43,0.0,0.18,0.44,0.42,0.52,1.0,0.8
0.57,0.5,0.49,0.44,0.44,0.48,0.92,0.9
1.0,1.0,0.39,0.39,1.0,0.0,0.67,0.65
1.0,1.0,1.0,1.0,0.5,0.76,1.0,1.0
0.73,0.5,0.84,0.17,0.42,0.5,1.0,1.0
0.84,0.4,0.29,0.39,0.28,0.48,1.0,0.55
0.02,0.0,0.49,0.22,0.39,0.43,1.0,1.0
0.51,0.0,0.67,0.22,0.67,0.36,0.5,0.45
0.9,0.7,1.0,0.83,0.36,1.0,0.92,1.0
0.63,0.1,0.86,0.44,0.0,0.0,0.0,0.0
0.69,0.2,0.41,0.33,1.0,0.9,1.0,1.0
0.94,0.4,0.53,0.11,0.78,0.19,0.58,0.45
0.43,0.3,0.33,0.22,0.36,0.21,1.0,1.0
0.82,1.0,0.8,0.28,0.03,0.17,0.0,0.0
0.24,0.2,0.53,0.22,0.33,0.29,0.75,0.6
0.71,1.0,0.88,0.56,0.22,0.55,0.92,0.3
0.9,0.2,0.59,0.22,0.83,0.26,0.58,0.5
0.61,0.4,0.37,0.83,0.42,0.17,1.0,0.95
0.67,0.0,0.92,0.72,0.75,0.69,1.0,1.0
0.51,0.0,0.51,0.11,0.56,0.0,0.83,0.75
0.67,0.6,0.55,0.0,0.36,0.31,0.08,0.0
0.86,0.4,0.69,0.0,0.83,0.33,0.25,0.1
0.43,0.1,0.33,0.22,0.0,0.0,0.0,0.0
0.53,1.0,1.0,0.28,0.0,0.12,0.0,0.0
0.53,0.0,0.43,0.33,0.0,0.0,0.0,0.0
0.73,0.5,0.57,0.56,0.81,0.02,1.0,0.65
0.12,0.0,0.0,0.0,0.22,0.02,0.08,0.95
0.82,0.6,0.86,0.44,0.03,0.0,0.0,0.0
0.57,0.5,0.69,0.28,0.44,0.38,0.67,0.9
0.37,0.0,0.22,0.39,0.69,0.69,1.0,1.0
0.86,0.9,0.86,0.33,0.17,0.17,0.5,1.0
0.86,0.7,0.71,0.44,0.0,0.0,0.0,0.0
0.45,0.6,0.67,0.67,0.11,0.9,0.83,0.4
0.71,1.0,0.8,0.22,0.17,0.4,0.92,0.15
0.51,0.4,0.53,0.22,0.44,0.36,0.75,1.0
0.67,0.7,1.0,0.44,0.0,0.02,0.67,1.0
0.45,0.2,0.45,0.06,0.81,0.5,1.0,1.0
0.96,0.8,0.8,0.67,0.67,0.64,1.0,1.0
0.57,0.0,0.86,0.44,0.0,0.0,0.0,0.0
0.63,0.7,1.0,0.28,0.0,0.0,0.58,0.9
0.47,0.2,0.69,0.5,0.53,0.26,0.75,0.95
0.84,0.0,0.59,0.61,1.0,0.02,1.0,1.0
0.88,0.5,0.88,0.61,0.67,0.62,1.0,0.95
0.0,0.0,0.39,0.33,0.03,0.17,0.67,0.55
0.47,0.4,0.53,0.0,0.14,0.1,0.0,0.0
0.63,0.2,0.35,0.39,0.28,0.26,0.75,0.7
0.1,0.2,0.67,0.22,0.03,0.71,0.58,0.55
0.55,0.6,0.59,0.06,0.25,0.1,0.25,0.3
0.2,0.0,0.35,0.06,0.06,0.0,0.58,0.5
0.82,0.5,1.0,0.83,0.25,1.0,1.0,0.7
0.8,0.5,0.88,0.28,0.14,0.02,0.0,0.0
0.71,0.4,0.67,0.5,0.36,0.38,1.0,1.0
0.76,0.1,0.27,0.11,0.42,0.45,0.5,0.75
0.84,0.5,0.96,0.83,0.92,0.55,0.92,1.0
0.35,0.0,0.06,0.28,0.22,0.69,0.92,1.0
0.94,0.8,1.0,0.67,0.5,0.88,0.75,1.0
0.98,1.0,0.53,1.0,0.39,0.45,1.0,1.0
0.43,0.2,0.49,0.22,0.31,0.62,1.0,0.9
0.86,1.0,0.88,0.78,0.86,0.98,1.0,1.0
0.67,0.0,0.08,0.39,0.14,0.0,0.17,1.0
1.0,1.0,0.65,0.61,0.36,0.17,0.42,0.3
0.39,0.0,0.84,0.22,0.33,0.71,1.0,1.0
0.65,0.5,0.08,0.22,0.17,0.0,0.33,1.0
0.71,0.4,0.94,0.44,0.17,0.17,0.42,1.0
0.2,0.0,0.49,0.17,0.39,0.26,1.0,1.0
0.61,0.4,1.0,0.56,0.25,1.0,1.0,1.0
0.27,0.1,0.33,0.06,0.39,0.17,0.58,1.0
0.86,1.0,0.86,0.67,0.0,0.0,0.17,0.55
0.57,0.5,0.57,0.33,0.0,0.0,0.0,0.0
0.88,0.6,1.0,1.0,0.78,1.0,1.0,1.0
0.86,0.4,0.55,0.0,0.28,0.14,0.08,0.15
0.67,0.2,0.35,0.0,0.42,0.29,0.17,0.2
0.59,0.3,0.69,0.11,0.0,0.26,0.08,0.0
0.88,0.0,0.92,0.17,0.64,0.07,0.83,0.7
