left_eye,forehead,right_eye,nose_bridge,left_cheek,right_cheek,nose,mouth
0.76,0.0,0.73,0.28,0.78,0.6,1.0,1.0
0.57,0.2,0.84,0.0,0.17,0.69,0.75,1.0
0.71,0.8,1.0,0.33,0.56,1.0,1.0,1.0
0.88,0.0,0.76,0.06,0.67,0.1,0.58,0.4
0.65,0.0,0.16,0.22,0.44,0.02,0.42,0.35
0.49,0.0,0.18,0.0,0.61,0.0,0.5,0.45
0.67,0.8,1.0,0.89,0.25,1.0,1.0,0.9
0.45,0.0,0.35,0.0,0.28,0.43,0.33,0.1
0.94,1.0,0.94,0.72,0.42,0.95,0.92,0.95
0.98,1.0,0.53,0.39,0.31,0.38,0.67,0.95
0.35,0.1,0.12,0.0,0.0,0.0,0.0,0.8
0.31,0.0,1.0,0.0,0.36,1.0,0.5,0.8
0.29,0.2,0.29,0.0,0.61,0.26,0.92,1.0
0.84,0.4,0.86,1.0,1.0,0.57,1.0,1.0
1.0,1.0,0.84,0.67,0.5,0.36,1.0,1.0
0.98,0.6,0.94,1.0,0.81,0.81,1.0,1.0
0.71,0.8,0.49,0.28,0.28,0.02,0.58,0.6
0.78,0.9,0.88,0.33,0.25,0.83,0.83,1.0
0.73,0.8,0.59,0.22,0.31,0.02,0.83,0.4
0.49,0.0,0.69,0.44,0.47,1.0,1.0,1.0
0.71,0.8,0.82,0.28,0.5,0.1,0.92,1.0
0.69,0.6,0.41,0.0,0.53,0.1,0.67,0.9
0.69,0.1,0.65,0.22,0.53,0.36,1.0,1.0
0.67,0.1,0.55,0.33,0.56,0.5,1.0,1.0
0.98,0.5,0.92,0.06,0.92,0.14,0.67,0.65
0.78,0.0,0.61,0.17,0.17,0.26,0.25,0.7
0.57,0.4,0.92,0.44,0.31,0.31,0.67,1.0
0.9,0.0,0.82,0.5,0.33,0.86,1.0,1.0
1.0,1.0,0.88,0.89,1.0,0.31,1.0,1.0
0.53,0.0,0.84,0.17,0.69,0.55,1.0,0.85
0.78,0.0,0.63,0.17,0.22,0.24,0.08,0.7
0.55,0.5,0.8,0.22,0.28,0.14,0.33,0.9
0.59,0.5,0.33,0.61,0.31,0.0,0.67,0.15
0.73,0.0,0.24,0.56,0.83,0.48,1.0,1.0
0.18,0.0,0.0,0.22,0.33,0.33,1.0,1.0
0.69,0.0,0.0,0.17,0.58,0.05,1.0,1.0
0.76,0.4,0.78,0.0,0.33,0.0,0.33,0.25
1.0,1.0,0.49,1.0,1.0,0.0,1.0,0.85
0.49,0.0,0.24,0.11,0.28,0.05,0.08,0.35
0.45,0.0,0.31,0.17,0.42,0.5,0.33,0.4
0.2,0.0,0.27,0.06,0.42,0.24,0.67,0.55
0.45,0.0,0.63,0.06,0.42,0.1,0.33,0.35
0.33,0.0,0.63,0.22,0.33,0.17,0.58,0.35
0.86,0.2,0.98,0.0,0.0,0.0,0.0,0.0
1.0,0.5,0.0,0.33,1.0,0.0,1.0,1.0
0.67,0.4,1.0,0.11,0.53,0.57,0.58,0.85
0.86,0.0,0.61,1.0,1.0,1.0,1.0,1.0
0.8,0.4,1.0,0.06,0.67,0.88,0.5,0.8
0.55,0.1,0.78,0.22,0.69,1.0,1.0,1.0
0.73,0.0,0.76,0.56,0.28,0.17,1.0,1.0
0.92,1.0,0.98,0.56,0.06,0.0,0.0,0.0
0.76,0.1,0.84,0.78,0.39,0.45,1.0,1.0
0.96,0.3,0.29,0.11,0.11,0.02,0.5,0.4
0.69,0.0,0.63,0.78,0.58,0.81,1.0,1.0
0.65,0.0,0.71,0.67,0.64,0.83,1.0,1.0
0.27,0.0,0.18,0.11,0.22,0.5,1.0,1.0
0.14,0.0,0.0,0.0,0.28,0.5,1.0,1.0
0.0,0.0,0.0,0.0,0.08,0.0,0.75,1.0
1.0,1.0,0.86,0.44,0.0,0.0,0.0,0.0
0.45,0.2,0.71,0.0,0.0,0.0,0.0,0.05
0.92,1.0,0.41,0.33,0.11,0.02,0.25,0.0
0.69,0.8,1.0,1.0,0.69,1.0,1.0,0.9
0.84,1.0,0.82,0.22,0.08,0.0,0.0,0.0
